id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
7637,"Agra T Civil Engineering Developers","Agra","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038208,purchase@agratcivilenginbuild.in,252750,"Verified RERA Active"
7638,"Ajmer U Living Spaces LLP","Ajmer","Rajasthan","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038213,purchase@ajmerulivingspabuild.in,253500,"Verified RERA Active"
7639,"Panchkula V Projects India","Panchkula","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038218,purchase@panchkulavprojebuild.in,254250,"Verified RERA Active"
7640,"Ludhiana W Buildtech India Pvt Ltd","Ludhiana","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038223,purchase@ludhianawbuildtbuild.in,255000,"Verified RERA Active"
7641,"Haldwani X Buildtech India Pvt Ltd","Haldwani","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038228,purchase@haldwanixbuildtbuild.in,255750,"Verified RERA Active"
7642,"Baddi Y Civil Engineering Developers","Baddi Industrial Zone","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038233,purchase@baddiycivilengibuild.in,256500,"Verified RERA Active"
7643,"Udhampur Z Living Spaces LLP","Udhampur","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038238,purchase@udhampurzlivingbuild.in,257250,"Verified RERA Active"
7644,"Nashik A Projects India","Nashik","Maharashtra","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038243,purchase@nashikaprojectsbuild.in,258000,"Verified RERA Active"
7645,"Bhavnagar B Buildtech India Pvt Ltd","Bhavnagar","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038248,purchase@bhavnagarbbuildbuild.in,258750,"Verified RERA Active"
7646,"Sagar C Civil Engineering Developers","Sagar","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038253,purchase@sagarccivilengibuild.in,259500,"Verified RERA Active"
7647,"Korba D Living Spaces LLP","Korba","Chhattisgarh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700038258,purchase@korbadlivingspabuild.in,260250,"Verified RERA Active"
7648,"Mapusa E Projects India","Mapusa","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038263,purchase@mapusaeprojectsbuild.in,261000,"Verified RERA Active"
7649,"Mysuru F Buildtech India Pvt Ltd","Mysuru","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038268,purchase@mysurufbuildtecbuild.in,261750,"Verified RERA Active"
7650,"Madurai G Civil Engineering Developers","Madurai","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700038273,purchase@maduraigcivilenbuild.in,262500,"Verified RERA Active"
7651,"Warangal H Civil Engineering Developers","Warangal","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038278,purchase@warangalhcivilebuild.in,263250,"Verified RERA Active"
7652,"Kurnool I Living Spaces LLP","Kurnool","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038283,purchase@kurnoolilivingsbuild.in,264000,"Verified RERA Active"
7653,"Kannur J Projects India","Kannur","Kerala","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700038288,purchase@kannurjprojectsbuild.in,264750,"Verified RERA Active"
7654,"Malda K Buildtech India Pvt Ltd","Malda","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038293,purchase@maldakbuildtechbuild.in,265500,"Verified RERA Active"
7655,"Arrah L Civil Engineering Developers","Arrah","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038298,purchase@arrahlcivilengibuild.in,266250,"Verified RERA Active"
7656,"Puri M Living Spaces LLP","Puri","Odisha","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700038303,purchase@purimlivingspacbuild.in,267000,"Verified RERA Active"
7657,"Jamshedpur N Projects India","Jamshedpur","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038308,purchase@jamshedpurnprojbuild.in,267750,"Verified RERA Active"
7658,"Aizawl O Buildtech India Pvt Ltd","Aizawl","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038313,purchase@aizawlobuildtecbuild.in,268500,"Verified RERA Active"
7659,"Gurugram P Civil Engineering Developers","Gurugram","Delhi NCR","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700038318,purchase@gurugrampcivilebuild.in,269250,"Verified RERA Active"
7660,"Prayagraj Q Living Spaces LLP","Prayagraj","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038323,purchase@prayagrajqlivinbuild.in,270000,"Verified RERA Active"
7661,"Udaipur R Living Spaces LLP","Udaipur","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038328,purchase@udaipurrlivingsbuild.in,270750,"Verified RERA Active"
7662,"Yamunanagar S Projects India","Yamunanagar","Haryana","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700038333,purchase@yamunanagarsprobuild.in,271500,"Verified RERA Active"
7663,"Hoshiarpur T Buildtech India Pvt Ltd","Hoshiarpur","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038338,purchase@hoshiarpurtbuilbuild.in,272250,"Verified RERA Active"
7664,"Roorkee U Civil Engineering Developers","Roorkee","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038343,purchase@roorkeeucivilenbuild.in,273000,"Verified RERA Active"
7665,"Mandi V Living Spaces LLP","Mandi","Himachal Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700038348,purchase@mandivlivingspabuild.in,273750,"Verified RERA Active"
7666,"Kathua W Projects India","Kathua","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038353,purchase@kathuawprojectsbuild.in,274500,"Verified RERA Active"
7667,"Kolhapur X Buildtech India Pvt Ltd","Kolhapur","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038358,purchase@kolhapurxbuildtbuild.in,25250,"Verified RERA Active"
7668,"Ahmedabad Y Civil Engineering Developers","Ahmedabad","Gujarat","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038363,purchase@ahmedabadycivilbuild.in,26000,"Verified RERA Active"
7669,"Bhopal Z Living Spaces LLP","Bhopal","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038368,purchase@bhopalzlivingspbuild.in,26750,"Verified RERA Active"
7670,"Bilaspur A Projects India","Bilaspur","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038373,purchase@bilaspuraprojecbuild.in,27500,"Verified RERA Active"
7671,"Margao B Projects India","Margao","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038378,purchase@margaobprojectsbuild.in,28250,"Verified RERA Active"
7672,"Bengaluru C Buildtech India Pvt Ltd","Bengaluru","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038383,purchase@bengalurucbuildbuild.in,29000,"Verified RERA Active"
7673,"Coimbatore D Civil Engineering Developers","Coimbatore","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038388,purchase@coimbatoredcivibuild.in,29750,"Verified RERA Active"
7674,"Hyderabad E Living Spaces LLP","Hyderabad","Telangana","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038393,purchase@hyderabadelivinbuild.in,30500,"Verified RERA Active"
7675,"Nellore F Projects India","Nellore","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038398,purchase@nellorefprojectbuild.in,31250,"Verified RERA Active"
7676,"Thrissur G Buildtech India Pvt Ltd","Thrissur","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038403,purchase@thrissurgbuildtbuild.in,32000,"Verified RERA Active"
7677,"Bardhaman H Civil Engineering Developers","Bardhaman","West Bengal","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700038408,purchase@bardhamanhcivilbuild.in,32750,"Verified RERA Active"
7678,"Bihar I Living Spaces LLP","Bihar Sharif","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038413,purchase@biharilivingspabuild.in,33500,"Verified RERA Active"
7679,"Bhubaneswar J Projects India","Bhubaneswar","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038418,purchase@bhubaneswarjprobuild.in,34250,"Verified RERA Active"
7680,"Ranchi K Buildtech India Pvt Ltd","Ranchi","Jharkhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700038423,purchase@ranchikbuildtecbuild.in,35000,"Verified RERA Active"
7681,"Nagaon L Buildtech India Pvt Ltd","Nagaon","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038428,purchase@nagaonlbuildtecbuild.in,35750,"Verified RERA Active"
7682,"South M Civil Engineering Developers","South Delhi","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038433,purchase@southmcivilengibuild.in,36500,"Verified RERA Active"
7683,"Meerut N Living Spaces LLP","Meerut","Uttar Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700038438,purchase@meerutnlivingspbuild.in,37250,"Verified RERA Active"
7684,"Bhilwara O Projects India","Bhilwara","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038443,purchase@bhilwaraoprojecbuild.in,38000,"Verified RERA Active"
7685,"Sonipat P Buildtech India Pvt Ltd","Sonipat","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038448,purchase@sonipatpbuildtebuild.in,38750,"Verified RERA Active"
7686,"Pathankot Q Civil Engineering Developers","Pathankot","Punjab","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700038453,purchase@pathankotqcivilbuild.in,39500,"Verified RERA Active"
7687,"Haridwar R Living Spaces LLP","Haridwar","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038458,purchase@haridwarrlivingbuild.in,40250,"Verified RERA Active"
7688,"Solan S Projects India","Solan","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038463,purchase@solansprojectsibuild.in,41000,"Verified RERA Active"
7689,"Baramulla T Buildtech India Pvt Ltd","Baramulla","Jammu & Kashmir","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700038468,purchase@baramullatbuildbuild.in,41750,"Verified RERA Active"
7690,"Mumbai U Civil Engineering Developers","Mumbai","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038473,purchase@mumbaiucivilengbuild.in,42500,"Verified RERA Active"
7691,"Jamnagar V Civil Engineering Developers","Jamnagar","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038478,purchase@jamnagarvcivilebuild.in,43250,"Verified RERA Active"
7692,"Dewas W Living Spaces LLP","Dewas","Madhya Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700038483,purchase@dewaswlivingspabuild.in,44000,"Verified RERA Active"
7693,"Bhilai X Projects India","Bhilai","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038488,purchase@bhilaixprojectsbuild.in,44750,"Verified RERA Active"
7694,"Ponda Y Buildtech India Pvt Ltd","Ponda","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038493,purchase@pondaybuildtechbuild.in,45500,"Verified RERA Active"
7695,"Ballari Z Civil Engineering Developers","Ballari","Karnataka","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700038498,purchase@ballarizcivilenbuild.in,46250,"Verified RERA Active"
7696,"Chennai A Living Spaces LLP","Chennai","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038503,purchase@chennaialivingsbuild.in,47000,"Verified RERA Active"
7697,"Secunderabad B Projects India","Secunderabad","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038508,purchase@secunderabadbprbuild.in,47750,"Verified RERA Active"
7698,"Guntur C Buildtech India Pvt Ltd","Guntur","Andhra Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038513,purchase@gunturcbuildtecbuild.in,48500,"Verified RERA Active"
7699,"Kollam D Civil Engineering Developers","Kollam","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038518,purchase@kollamdcivilengbuild.in,49250,"Verified RERA Active"
7700,"Durgapur E Living Spaces LLP","Durgapur","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038523,purchase@durgapurelivingbuild.in,50000,"Verified RERA Active"
7701,"Darbhanga F Living Spaces LLP","Darbhanga","Bihar","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038528,purchase@darbhangaflivinbuild.in,50750,"Verified RERA Active"
7702,"Rourkela G Projects India","Rourkela","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038533,purchase@rourkelagprojecbuild.in,51500,"Verified RERA Active"
7703,"Hazaribagh H Buildtech India Pvt Ltd","Hazaribagh","Jharkhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038538,purchase@hazaribaghhbuilbuild.in,52250,"Verified RERA Active"
7704,"Guwahati I Civil Engineering Developers","Guwahati","Assam & NE","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038543,purchase@guwahatiicivilebuild.in,53000,"Verified RERA Active"
7705,"North J Living Spaces LLP","North Delhi","Delhi NCR","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038548,purchase@northjlivingspabuild.in,53750,"Verified RERA Active"
7706,"Bareilly K Projects India","Bareilly","Uttar Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038553,purchase@bareillykprojecbuild.in,54500,"Verified RERA Active"
7707,"Alwar L Buildtech India Pvt Ltd","Alwar","Rajasthan","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700038558,purchase@alwarlbuildtechbuild.in,55250,"Verified RERA Active"
7708,"Rohtak M Civil Engineering Developers","Rohtak","Haryana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038563,purchase@rohtakmcivilengbuild.in,56000,"Verified RERA Active"
7709,"Mohali N Living Spaces LLP","Mohali","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038568,purchase@mohalinlivingspbuild.in,56750,"Verified RERA Active"
7710,"Dehradun O Projects India","Dehradun","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700038573,purchase@dehradunoprojecbuild.in,57500,"Verified RERA Active"
7711,"Dharamshala P Projects India","Dharamshala","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038578,purchase@dharamshalapprobuild.in,58250,"Verified RERA Active"
7712,"Anantnag Q Buildtech India Pvt Ltd","Anantnag","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038583,purchase@anantnagqbuildtbuild.in,59000,"Verified RERA Active"
7713,"Thane R Civil Engineering Developers","Thane","Maharashtra","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700038588,purchase@thanercivilengibuild.in,59750,"Verified RERA Active"
7714,"Surat S Living Spaces LLP","Surat","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038593,purchase@suratslivingspabuild.in,60500,"Verified RERA Active"
7715,"Jabalpur T Projects India","Jabalpur","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038598,purchase@jabalpurtprojecbuild.in,61250,"Verified RERA Active"
7716,"Raipur U Buildtech India Pvt Ltd","Raipur","Chhattisgarh","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700038603,purchase@raipurubuildtecbuild.in,62000,"Verified RERA Active"
7717,"Vasco V Civil Engineering Developers","Vasco da Gama","Goa","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038608,purchase@vascovcivilengibuild.in,62750,"Verified RERA Active"
7718,"Davanagere W Living Spaces LLP","Davanagere","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038613,purchase@davanagerewlivibuild.in,63500,"Verified RERA Active"
7719,"Vellore X Projects India","Vellore","Tamil Nadu","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700038618,purchase@vellorexprojectbuild.in,64250,"Verified RERA Active"
7720,"Khammam Y Buildtech India Pvt Ltd","Khammam","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038623,purchase@khammamybuildtebuild.in,65000,"Verified RERA Active"
7721,"Vijayawada Z Buildtech India Pvt Ltd","Vijayawada","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038628,purchase@vijayawadazbuilbuild.in,65750,"Verified RERA Active"
7722,"Kozhikode A Civil Engineering Developers","Kozhikode","Kerala","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700038633,purchase@kozhikodeacivilbuild.in,66500,"Verified RERA Active"
7723,"Siliguri B Living Spaces LLP","Siliguri","West Bengal","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038638,purchase@siliguriblivingbuild.in,67250,"Verified RERA Active"
7724,"Purnia C Projects India","Purnia","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038643,purchase@purniacprojectsbuild.in,68000,"Verified RERA Active"
7725,"Sambalpur D Buildtech India Pvt Ltd","Sambalpur","Odisha","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700038648,purchase@sambalpurdbuildbuild.in,68750,"Verified RERA Active"
7726,"Deoghar E Civil Engineering Developers","Deoghar","Jharkhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038653,purchase@deogharecivilenbuild.in,69500,"Verified RERA Active"
7727,"Shillong F Living Spaces LLP","Shillong","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038658,purchase@shillongflivingbuild.in,70250,"Verified RERA Active"
7728,"New G Projects India","New Delhi","Delhi NCR","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038663,purchase@newgprojectsindbuild.in,71000,"Verified RERA Active"
7729,"Aligarh H Buildtech India Pvt Ltd","Aligarh","Uttar Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038668,purchase@aligarhhbuildtebuild.in,71750,"Verified RERA Active"
7730,"Sikar I Civil Engineering Developers","Sikar","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038673,purchase@sikaricivilengibuild.in,72500,"Verified RERA Active"
7731,"Hisar J Civil Engineering Developers","Hisar","Haryana","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038678,purchase@hisarjcivilengibuild.in,73250,"Verified RERA Active"
7732,"Bathinda K Living Spaces LLP","Bathinda","Punjab","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038683,purchase@bathindaklivingbuild.in,74000,"Verified RERA Active"
7733,"Rishikesh L Projects India","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038688,purchase@rishikeshlprojebuild.in,74750,"Verified RERA Active"
7734,"Shimla M Buildtech India Pvt Ltd","Shimla","Himachal Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700038693,purchase@shimlambuildtecbuild.in,75500,"Verified RERA Active"
7735,"Jammu N Civil Engineering Developers","Jammu","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038698,purchase@jammuncivilengibuild.in,76250,"Verified RERA Active"
7736,"Solapur O Living Spaces LLP","Solapur","Maharashtra","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038703,purchase@solapurolivingsbuild.in,77000,"Verified RERA Active"
7737,"Gandhinagar P Projects India","Gandhinagar","Gujarat","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700038708,purchase@gandhinagarpprobuild.in,77750,"Verified RERA Active"
7738,"Satna Q Buildtech India Pvt Ltd","Satna","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038713,purchase@satnaqbuildtechbuild.in,78500,"Verified RERA Active"
7739,"Rajnandgaon R Civil Engineering Developers","Rajnandgaon","Chhattisgarh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038718,purchase@rajnandgaonrcivbuild.in,79250,"Verified RERA Active"
7740,"Panaji S Living Spaces LLP","Panaji","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700038723,purchase@panajislivingspbuild.in,80000,"Verified RERA Active"
7741,"Kalaburagi T Living Spaces LLP","Kalaburagi","Karnataka","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038728,purchase@kalaburagitlivibuild.in,80750,"Verified RERA Active"
7742,"Erode U Projects India","Erode","Tamil Nadu","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038733,purchase@erodeuprojectsibuild.in,81500,"Verified RERA Active"
7743,"Karimnagar V Buildtech India Pvt Ltd","Karimnagar","Telangana","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700038738,purchase@karimnagarvbuilbuild.in,82250,"Verified RERA Active"
7744,"Visakhapatnam W Civil Engineering Developers","Visakhapatnam","Andhra Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038743,purchase@visakhapatnamwcbuild.in,83000,"Verified RERA Active"
7745,"Kochi X Living Spaces LLP","Kochi","Kerala","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700038748,purchase@kochixlivingspabuild.in,83750,"Verified RERA Active"
7746,"Asansol Y Projects India","Asansol","West Bengal","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700038753,purchase@asansolyprojectbuild.in,84500,"Verified RERA Active"
7747,"Muzaffarpur Z Buildtech India Pvt Ltd","Muzaffarpur","Bihar","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038758,purchase@muzaffarpurzbuibuild.in,85250,"Verified RERA Active"
7748,"Balasore A Civil Engineering Developers","Balasore","Odisha","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038763,purchase@balasoreacivilebuild.in,86000,"Verified RERA Active"
7749,"Bokaro B Living Spaces LLP","Bokaro Steel City","Jharkhand","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700038768,purchase@bokaroblivingspbuild.in,86750,"Verified RERA Active"
7750,"Silchar C Projects India","Silchar","Assam & NE","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038773,purchase@silcharcprojectbuild.in,87500,"Verified RERA Active"
7751,"Ghaziabad D Projects India","Ghaziabad","Delhi NCR","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700038778,purchase@ghaziabaddprojebuild.in,88250,"Verified RERA Active"
7752,"Gorakhpur E Buildtech India Pvt Ltd","Gorakhpur","Uttar Pradesh","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700038783,purchase@gorakhpurebuildbuild.in,89000,"Verified RERA Active"
7753,"Bhiwadi F Civil Engineering Developers","Bhiwadi","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038788,purchase@bhiwadifcivilenbuild.in,89750,"Verified RERA Active"
7754,"Karnal G Living Spaces LLP","Karnal","Haryana","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038793,purchase@karnalglivingspbuild.in,90500,"Verified RERA Active"
7755,"Patiala H Projects India","Patiala","Punjab","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700038798,purchase@patialahprojectbuild.in,91250,"Verified RERA Active"
7756,"Rudrapur I Buildtech India Pvt Ltd","Rudrapur","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700038803,purchase@rudrapuribuildtbuild.in,92000,"Verified RERA Active"
7757,"Kullu J Civil Engineering Developers","Kullu","Himachal Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700038808,purchase@kullujcivilengibuild.in,92750,"Verified RERA Active"
7758,"Srinagar K Living Spaces LLP","Srinagar","Jammu & Kashmir","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700038813,purchase@srinagarklivingbuild.in,93500,"Verified RERA Active"
7759,"Amravati L Projects India","Amravati","Maharashtra","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700038818,purchase@amravatilprojecbuild.in,94250,"Verified RERA Active"
7760,"Vadodara M Buildtech India Pvt Ltd","Vadodara","Gujarat","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700038823,purchase@vadodarambuildtbuild.in,95000,"Verified RERA Active"
7761,"Gwalior N Buildtech India Pvt Ltd","Gwalior","Madhya Pradesh","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700038828,purchase@gwaliornbuildtebuild.in,95750,"Verified RERA Active"
7762,"Durg O Civil Engineering Developers","Durg","Chhattisgarh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700038833,purchase@durgocivilenginbuild.in,96500,"Verified RERA Active"
7763,"Mapusa P Living Spaces LLP","Mapusa","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700038838,purchase@mapusaplivingspbuild.in,97250,"Verified RERA Active"
