id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
252,"Jaipur S Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829011764,procurement@jaipurbuild252.in,18200
253,"Jodhpur T Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011771,procurement@jodhpurbuild253.in,18550
254,"Udaipur U Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829011778,procurement@udaipurbuild254.in,18900
255,"Kota V Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011785,procurement@kotabuild255.in,19250
256,"Alwar W Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829011792,procurement@alwarbuild256.in,19600
257,"Ajmer X Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011799,procurement@ajmerbuild257.in,19950
258,"Bhilwara Y Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011806,procurement@bhilwarabuild258.in,20300
259,"Jaipur Z Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011813,procurement@jaipurbuild259.in,20650
260,"Jodhpur A Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829011820,procurement@jodhpurbuild260.in,21000
261,"Udaipur B Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829011827,procurement@udaipurbuild261.in,21350
262,"Kota C Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829011834,procurement@kotabuild262.in,21700
263,"Alwar D Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011841,procurement@alwarbuild263.in,22050
264,"Ajmer E Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829011848,procurement@ajmerbuild264.in,22400
265,"Bhilwara F Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011855,procurement@bhilwarabuild265.in,22750
266,"Jaipur G Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829011862,procurement@jaipurbuild266.in,23100
267,"Jodhpur H Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011869,procurement@jodhpurbuild267.in,23450
268,"Udaipur I Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829011876,procurement@udaipurbuild268.in,23800
269,"Kota J Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829011883,procurement@kotabuild269.in,24150
270,"Alwar K Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011890,procurement@alwarbuild270.in,24500
271,"Ajmer L Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011897,procurement@ajmerbuild271.in,24850
272,"Bhilwara M Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829011904,procurement@bhilwarabuild272.in,25200
273,"Jaipur N Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829011911,procurement@jaipurbuild273.in,25550
274,"Jodhpur O Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829011918,procurement@jodhpurbuild274.in,25900
275,"Udaipur P Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829011925,procurement@udaipurbuild275.in,26250
276,"Kota Q Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829011932,procurement@kotabuild276.in,26600
277,"Alwar R Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829011939,procurement@alwarbuild277.in,26950
278,"Ajmer S Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829011946,procurement@ajmerbuild278.in,27300
279,"Bhilwara T Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829011953,procurement@bhilwarabuild279.in,27650
280,"Jaipur U Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829011960,procurement@jaipurbuild280.in,28000
281,"Jodhpur V Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829011967,procurement@jodhpurbuild281.in,28350
282,"Udaipur W Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829011974,procurement@udaipurbuild282.in,28700
283,"Kota X Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829011981,procurement@kotabuild283.in,29050
284,"Alwar Y Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829011988,procurement@alwarbuild284.in,29400
285,"Ajmer Z Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829011995,procurement@ajmerbuild285.in,29750
286,"Bhilwara A Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829012002,procurement@bhilwarabuild286.in,30100
287,"Jaipur B Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012009,procurement@jaipurbuild287.in,30450
288,"Jodhpur C Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829012016,procurement@jodhpurbuild288.in,30800
289,"Udaipur D Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012023,procurement@udaipurbuild289.in,31150
290,"Kota E Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829012030,procurement@kotabuild290.in,31500
291,"Alwar F Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012037,procurement@alwarbuild291.in,31850
292,"Ajmer G Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829012044,procurement@ajmerbuild292.in,32200
293,"Bhilwara H Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012051,procurement@bhilwarabuild293.in,32550
294,"Jaipur I Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012058,procurement@jaipurbuild294.in,32900
295,"Jodhpur J Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012065,procurement@jodhpurbuild295.in,33250
296,"Udaipur K Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829012072,procurement@udaipurbuild296.in,33600
297,"Kota L Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012079,procurement@kotabuild297.in,33950
298,"Alwar M Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829012086,procurement@alwarbuild298.in,34300
299,"Ajmer N Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012093,procurement@ajmerbuild299.in,34650
300,"Bhilwara O Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829012100,procurement@bhilwarabuild300.in,35000
301,"Jaipur P Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012107,procurement@jaipurbuild301.in,35350
302,"Jodhpur Q Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829012114,procurement@jodhpurbuild302.in,35700
303,"Udaipur R Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012121,procurement@udaipurbuild303.in,36050
304,"Kota S Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829012128,procurement@kotabuild304.in,36400
305,"Alwar T Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012135,procurement@alwarbuild305.in,36750
306,"Ajmer U Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012142,procurement@ajmerbuild306.in,37100
307,"Bhilwara V Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012149,procurement@bhilwarabuild307.in,37450
308,"Jaipur W Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829012156,procurement@jaipurbuild308.in,37800
309,"Jodhpur X Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012163,procurement@jodhpurbuild309.in,38150
310,"Udaipur Y Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829012170,procurement@udaipurbuild310.in,38500
311,"Kota Z Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012177,procurement@kotabuild311.in,38850
312,"Alwar A Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829012184,procurement@alwarbuild312.in,39200
313,"Ajmer B Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012191,procurement@ajmerbuild313.in,39550
314,"Bhilwara C Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829012198,procurement@bhilwarabuild314.in,39900
315,"Jaipur D Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012205,procurement@jaipurbuild315.in,40250
316,"Jodhpur E Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829012212,procurement@jodhpurbuild316.in,40600
317,"Udaipur F Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012219,procurement@udaipurbuild317.in,40950
318,"Kota G Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012226,procurement@kotabuild318.in,41300
319,"Alwar H Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012233,procurement@alwarbuild319.in,41650
320,"Ajmer I Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829012240,procurement@ajmerbuild320.in,42000
321,"Bhilwara J Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012247,procurement@bhilwarabuild321.in,42350
322,"Jaipur K Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829012254,procurement@jaipurbuild322.in,42700
323,"Jodhpur L Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012261,procurement@jodhpurbuild323.in,43050
324,"Udaipur M Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829012268,procurement@udaipurbuild324.in,43400
325,"Kota N Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012275,procurement@kotabuild325.in,43750
326,"Alwar O Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829012282,procurement@alwarbuild326.in,44100
327,"Ajmer P Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012289,procurement@ajmerbuild327.in,44450
328,"Bhilwara Q Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829012296,procurement@bhilwarabuild328.in,44800
329,"Jaipur R Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012303,procurement@jaipurbuild329.in,45150
330,"Jodhpur S Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012310,procurement@jodhpurbuild330.in,45500
331,"Udaipur T Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012317,procurement@udaipurbuild331.in,45850
332,"Kota U Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829012324,procurement@kotabuild332.in,46200
333,"Alwar V Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012331,procurement@alwarbuild333.in,46550
334,"Ajmer W Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829012338,procurement@ajmerbuild334.in,46900
335,"Bhilwara X Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012345,procurement@bhilwarabuild335.in,47250
336,"Jaipur Y Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829012352,procurement@jaipurbuild336.in,47600
337,"Jodhpur Z Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012359,procurement@jodhpurbuild337.in,47950
338,"Udaipur A Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829012366,procurement@udaipurbuild338.in,48300
339,"Kota B Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012373,procurement@kotabuild339.in,48650
340,"Alwar C Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829012380,procurement@alwarbuild340.in,49000
341,"Ajmer D Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012387,procurement@ajmerbuild341.in,49350
342,"Bhilwara E Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012394,procurement@bhilwarabuild342.in,49700
343,"Jaipur F Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012401,procurement@jaipurbuild343.in,50050
344,"Jodhpur G Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829012408,procurement@jodhpurbuild344.in,50400
345,"Udaipur H Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012415,procurement@udaipurbuild345.in,50750
346,"Kota I Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829012422,procurement@kotabuild346.in,51100
347,"Alwar J Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012429,procurement@alwarbuild347.in,51450
348,"Ajmer K Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829012436,procurement@ajmerbuild348.in,51800
349,"Bhilwara L Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012443,procurement@bhilwarabuild349.in,52150
350,"Jaipur M Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829012450,procurement@jaipurbuild350.in,52500
351,"Jodhpur N Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012457,procurement@jodhpurbuild351.in,52850
352,"Udaipur O Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829012464,procurement@udaipurbuild352.in,53200
353,"Kota P Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012471,procurement@kotabuild353.in,53550
354,"Alwar Q Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012478,procurement@alwarbuild354.in,53900
355,"Ajmer R Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012485,procurement@ajmerbuild355.in,54250
356,"Bhilwara S Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829012492,procurement@bhilwarabuild356.in,54600
357,"Jaipur T Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012499,procurement@jaipurbuild357.in,54950
358,"Jodhpur U Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829012506,procurement@jodhpurbuild358.in,55300
359,"Udaipur V Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012513,procurement@udaipurbuild359.in,55650
360,"Kota W Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829012520,procurement@kotabuild360.in,56000
361,"Alwar X Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012527,procurement@alwarbuild361.in,56350
362,"Ajmer Y Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829012534,procurement@ajmerbuild362.in,56700
363,"Bhilwara Z Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012541,procurement@bhilwarabuild363.in,57050
364,"Jaipur A Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829012548,procurement@jaipurbuild364.in,57400
365,"Jodhpur B Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012555,procurement@jodhpurbuild365.in,57750
366,"Udaipur C Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012562,procurement@udaipurbuild366.in,58100
367,"Kota D Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012569,procurement@kotabuild367.in,58450
368,"Alwar E Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829012576,procurement@alwarbuild368.in,58800
369,"Ajmer F Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012583,procurement@ajmerbuild369.in,59150
370,"Bhilwara G Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829012590,procurement@bhilwarabuild370.in,59500
371,"Jaipur H Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012597,procurement@jaipurbuild371.in,59850
372,"Jodhpur I Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829012604,procurement@jodhpurbuild372.in,60200
373,"Udaipur J Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012611,procurement@udaipurbuild373.in,60550
374,"Kota K Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829012618,procurement@kotabuild374.in,60900
375,"Alwar L Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012625,procurement@alwarbuild375.in,61250
376,"Ajmer M Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829012632,procurement@ajmerbuild376.in,61600
377,"Bhilwara N Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012639,procurement@bhilwarabuild377.in,61950
378,"Jaipur O Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012646,procurement@jaipurbuild378.in,62300
379,"Jodhpur P Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012653,procurement@jodhpurbuild379.in,62650
380,"Udaipur Q Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829012660,procurement@udaipurbuild380.in,63000
381,"Kota R Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012667,procurement@kotabuild381.in,63350
382,"Alwar S Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829012674,procurement@alwarbuild382.in,63700
383,"Ajmer T Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012681,procurement@ajmerbuild383.in,64050
384,"Bhilwara U Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829012688,procurement@bhilwarabuild384.in,64400
385,"Jaipur V Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012695,procurement@jaipurbuild385.in,64750
386,"Jodhpur W Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829012702,procurement@jodhpurbuild386.in,65100
387,"Udaipur X Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012709,procurement@udaipurbuild387.in,65450
388,"Kota Y Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829012716,procurement@kotabuild388.in,65800
389,"Alwar Z Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012723,procurement@alwarbuild389.in,66150
390,"Ajmer A Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012730,procurement@ajmerbuild390.in,66500
391,"Bhilwara B Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012737,procurement@bhilwarabuild391.in,66850
392,"Jaipur C Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829012744,procurement@jaipurbuild392.in,67200
393,"Jodhpur D Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829012751,procurement@jodhpurbuild393.in,67550
394,"Udaipur E Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829012758,procurement@udaipurbuild394.in,67900
395,"Kota F Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829012765,procurement@kotabuild395.in,68250
396,"Alwar G Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829012772,procurement@alwarbuild396.in,68600
397,"Ajmer H Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012779,procurement@ajmerbuild397.in,68950
398,"Bhilwara I Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829012786,procurement@bhilwarabuild398.in,69300
399,"Jaipur J Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829012793,procurement@jaipurbuild399.in,69650
400,"Jodhpur K Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829012800,procurement@jodhpurbuild400.in,70000
401,"Udaipur L Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829012807,procurement@udaipurbuild401.in,70350
402,"Kota M Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829012814,procurement@kotabuild402.in,70700
403,"Alwar N Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012821,procurement@alwarbuild403.in,71050
404,"Ajmer O Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829012828,procurement@ajmerbuild404.in,71400
405,"Bhilwara P Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829012835,procurement@bhilwarabuild405.in,71750
406,"Jaipur Q Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829012842,procurement@jaipurbuild406.in,72100
407,"Jodhpur R Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829012849,procurement@jodhpurbuild407.in,72450
408,"Udaipur S Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829012856,procurement@udaipurbuild408.in,72800
409,"Kota T Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829012863,procurement@kotabuild409.in,73150
410,"Alwar U Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829012870,procurement@alwarbuild410.in,73500
411,"Ajmer V Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829012877,procurement@ajmerbuild411.in,73850
412,"Bhilwara W Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829012884,procurement@bhilwarabuild412.in,74200
413,"Jaipur X Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829012891,procurement@jaipurbuild413.in,74550
