id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
393,"Manu Marg Hardware & Building Materials",Mukesh Gupta,+919414010393,Alwar,"Manu Marg","Plot 153, Main Market, Manu Marg, Alwar, Rajasthan",Exclusive Coating Dealer,351
394,"Yadav Krishna Paint House",Ramesh Yadav,+919414010394,Ajmer,"Parbatpura Industrial Area","Plot 154, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
395,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010395,Kota,"DCM Road","Plot 155, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
396,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010396,Jaipur,"Malviya Nagar","Plot 156, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
397,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010397,Sikar,"Salasar Bus Stand Market","Plot 157, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Building Material Stockist,379
398,"Jain Laxmi Paint Center",Pankaj Jain,+919414010398,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 158, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
399,"MIA Industrial Area Royal Paints & Texture Mart",Vinod Prajapat,+919414010399,Alwar,"MIA Industrial Area","Plot 159, Main Market, MIA Industrial Area, Alwar, Rajasthan",Texture & Putty Specialist,393
400,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010400,Ajmer,"Parbatpura Industrial Area","Plot 160, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
401,"Ashok Balaji Color World",Ashok Mittal,+919414010401,Kota,"DCM Road","Plot 161, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
402,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010402,Jaipur,"Sanganer Market","Plot 162, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
403,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010403,Sikar,"Kotwali Market","Plot 163, Main Market, Kotwali Market, Sikar, Rajasthan",Exclusive Coating Dealer,71
404,"Sharma National Hardware & Paints",Gopal Sharma,+919414010404,Jhunjhunu,"Peeru Singh Circle","Plot 164, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
405,"Bhiwadi Alwar Bypass Paint & Hardware Store",Rajesh Sharma,+919414010405,Alwar,"Bhiwadi Alwar Bypass","Plot 165, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Paint Retailer,85
406,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010406,Ajmer,"Parbatpura Industrial Area","Plot 166, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
407,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010407,Kota,"DCM Road","Plot 167, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
408,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010408,Jaipur,"Tonk Road","Plot 168, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
409,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010409,Sikar,"Piprali Road","Plot 169, Main Market, Piprali Road, Sikar, Rajasthan",Texture & Putty Specialist,113
410,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010410,Jhunjhunu,"Gugali Market","Plot 170, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
411,"Neemrana Industrial Zone Maruti Paints & Coating Traders",Dinesh Meena,+919414010411,Alwar,"Neemrana Industrial Zone","Plot 171, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Hardware & Sanitary,127
412,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010412,Ajmer,"Parbatpura Industrial Area","Plot 172, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
413,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010413,Kota,"DCM Road","Plot 173, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
414,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010414,Jaipur,"Vaishali Nagar","Plot 174, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
415,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010415,Sikar,"Fatehpur Road","Plot 175, Main Market, Fatehpur Road, Sikar, Rajasthan",Paint Retailer,155
416,"Mittal Balaji Color World",Ashok Mittal,+919414010416,Jhunjhunu,"Mandawa Road","Plot 176, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
417,"Delhi Gate Vijay Paint & Plywood Stores",Kamal Verma,+919414010417,Alwar,"Delhi Gate","Plot 177, Main Market, Delhi Gate, Alwar, Rajasthan",Building Material Stockist,169
418,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010418,Ajmer,"Parbatpura Industrial Area","Plot 178, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
419,"Gopal National Hardware & Paints",Gopal Sharma,+919414010419,Kota,"DCM Road","Plot 179, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
420,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010420,Jaipur,"Mansarovar","Plot 180, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
421,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010421,Sikar,"Bajoria Road","Plot 181, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,197
422,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010422,Jhunjhunu,"Road No 1","Plot 182, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
423,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414010423,Alwar,"Hope Circus","Plot 183, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,211
424,"Yadav Krishna Paint House",Ramesh Yadav,+919414010424,Ajmer,"Parbatpura Industrial Area","Plot 184, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
425,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010425,Kota,"DCM Road","Plot 185, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
426,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010426,Jaipur,"Malviya Nagar","Plot 186, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
427,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010427,Sikar,"Station Road","Plot 187, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,239
428,"Jain Laxmi Paint Center",Pankaj Jain,+919414010428,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 188, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
429,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414010429,Alwar,"Company Bagh Road","Plot 189, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,253
430,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010430,Ajmer,"Parbatpura Industrial Area","Plot 190, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
431,"Ashok Balaji Color World",Ashok Mittal,+919414010431,Kota,"DCM Road","Plot 191, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
432,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010432,Jaipur,"Sanganer Market","Plot 192, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
433,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010433,Sikar,"Nawalgarh Road","Plot 193, Main Market, Nawalgarh Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
434,"Sharma National Hardware & Paints",Gopal Sharma,+919414010434,Jhunjhunu,"Peeru Singh Circle","Plot 194, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
435,"Manu Marg Paint & Hardware Store",Rajesh Sharma,+919414010435,Alwar,"Manu Marg","Plot 195, Main Market, Manu Marg, Alwar, Rajasthan",Paint Retailer,295
436,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010436,Ajmer,"Parbatpura Industrial Area","Plot 196, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
437,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010437,Kota,"DCM Road","Plot 197, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
438,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010438,Jaipur,"Tonk Road","Plot 198, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
439,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010439,Sikar,"Salasar Bus Stand Market","Plot 199, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Texture & Putty Specialist,323
440,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010440,Jhunjhunu,"Gugali Market","Plot 200, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
441,"MIA Industrial Area Maruti Paints & Coating Traders",Dinesh Meena,+919414010441,Alwar,"MIA Industrial Area","Plot 201, Main Market, MIA Industrial Area, Alwar, Rajasthan",Hardware & Sanitary,337
442,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010442,Ajmer,"Parbatpura Industrial Area","Plot 202, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
443,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010443,Kota,"DCM Road","Plot 203, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
444,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010444,Jaipur,"Vaishali Nagar","Plot 204, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
445,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010445,Sikar,"Kotwali Market","Plot 205, Main Market, Kotwali Market, Sikar, Rajasthan",Paint Retailer,365
446,"Mittal Balaji Color World",Ashok Mittal,+919414010446,Jhunjhunu,"Mandawa Road","Plot 206, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
447,"Bhiwadi Alwar Bypass Vijay Paint & Plywood Stores",Kamal Verma,+919414010447,Alwar,"Bhiwadi Alwar Bypass","Plot 207, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Building Material Stockist,379
448,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010448,Ajmer,"Parbatpura Industrial Area","Plot 208, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
449,"Gopal National Hardware & Paints",Gopal Sharma,+919414010449,Kota,"DCM Road","Plot 209, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
450,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010450,Jaipur,"Mansarovar","Plot 210, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
451,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010451,Sikar,"Piprali Road","Plot 211, Main Market, Piprali Road, Sikar, Rajasthan",Hardware & Sanitary,57
452,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010452,Jhunjhunu,"Road No 1","Plot 212, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
453,"Neemrana Industrial Zone Hardware & Building Materials",Mukesh Gupta,+919414010453,Alwar,"Neemrana Industrial Zone","Plot 213, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Exclusive Coating Dealer,71
454,"Yadav Krishna Paint House",Ramesh Yadav,+919414010454,Ajmer,"Parbatpura Industrial Area","Plot 214, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
455,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010455,Kota,"DCM Road","Plot 215, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
456,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010456,Jaipur,"Malviya Nagar","Plot 216, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
457,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010457,Sikar,"Fatehpur Road","Plot 217, Main Market, Fatehpur Road, Sikar, Rajasthan",Building Material Stockist,99
458,"Jain Laxmi Paint Center",Pankaj Jain,+919414010458,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 218, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
459,"Delhi Gate Royal Paints & Texture Mart",Vinod Prajapat,+919414010459,Alwar,"Delhi Gate","Plot 219, Main Market, Delhi Gate, Alwar, Rajasthan",Texture & Putty Specialist,113
460,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010460,Ajmer,"Parbatpura Industrial Area","Plot 220, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
461,"Ashok Balaji Color World",Ashok Mittal,+919414010461,Kota,"DCM Road","Plot 221, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
462,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010462,Jaipur,"Sanganer Market","Plot 222, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
463,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010463,Sikar,"Bajoria Road","Plot 223, Main Market, Bajoria Road, Sikar, Rajasthan",Exclusive Coating Dealer,141
464,"Sharma National Hardware & Paints",Gopal Sharma,+919414010464,Jhunjhunu,"Peeru Singh Circle","Plot 224, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
465,"Hope Circus Paint & Hardware Store",Rajesh Sharma,+919414010465,Alwar,"Hope Circus","Plot 225, Main Market, Hope Circus, Alwar, Rajasthan",Paint Retailer,155
466,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010466,Ajmer,"Parbatpura Industrial Area","Plot 226, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
467,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010467,Kota,"DCM Road","Plot 227, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
468,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010468,Jaipur,"Tonk Road","Plot 228, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
469,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010469,Sikar,"Station Road","Plot 229, Main Market, Station Road, Sikar, Rajasthan",Texture & Putty Specialist,183
470,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010470,Jhunjhunu,"Gugali Market","Plot 230, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
471,"Company Bagh Road Maruti Paints & Coating Traders",Dinesh Meena,+919414010471,Alwar,"Company Bagh Road","Plot 231, Main Market, Company Bagh Road, Alwar, Rajasthan",Hardware & Sanitary,197
472,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010472,Ajmer,"Parbatpura Industrial Area","Plot 232, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
473,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010473,Kota,"DCM Road","Plot 233, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
474,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010474,Jaipur,"Vaishali Nagar","Plot 234, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
475,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010475,Sikar,"Nawalgarh Road","Plot 235, Main Market, Nawalgarh Road, Sikar, Rajasthan",Paint Retailer,225
476,"Mittal Balaji Color World",Ashok Mittal,+919414010476,Jhunjhunu,"Mandawa Road","Plot 236, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
477,"Manu Marg Vijay Paint & Plywood Stores",Kamal Verma,+919414010477,Alwar,"Manu Marg","Plot 237, Main Market, Manu Marg, Alwar, Rajasthan",Building Material Stockist,239
478,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010478,Ajmer,"Parbatpura Industrial Area","Plot 238, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
479,"Gopal National Hardware & Paints",Gopal Sharma,+919414010479,Kota,"DCM Road","Plot 239, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
480,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010480,Jaipur,"Mansarovar","Plot 240, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
481,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010481,Sikar,"Salasar Bus Stand Market","Plot 241, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Hardware & Sanitary,267
482,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010482,Jhunjhunu,"Road No 1","Plot 242, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
483,"MIA Industrial Area Hardware & Building Materials",Mukesh Gupta,+919414010483,Alwar,"MIA Industrial Area","Plot 243, Main Market, MIA Industrial Area, Alwar, Rajasthan",Exclusive Coating Dealer,281
484,"Yadav Krishna Paint House",Ramesh Yadav,+919414010484,Ajmer,"Parbatpura Industrial Area","Plot 244, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
485,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010485,Kota,"DCM Road","Plot 245, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
486,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010486,Jaipur,"Malviya Nagar","Plot 246, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
487,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010487,Sikar,"Kotwali Market","Plot 247, Main Market, Kotwali Market, Sikar, Rajasthan",Building Material Stockist,309
488,"Jain Laxmi Paint Center",Pankaj Jain,+919414010488,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 248, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,316
489,"Bhiwadi Alwar Bypass Royal Paints & Texture Mart",Vinod Prajapat,+919414010489,Alwar,"Bhiwadi Alwar Bypass","Plot 249, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Texture & Putty Specialist,323
490,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010490,Ajmer,"Parbatpura Industrial Area","Plot 250, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,330
491,"Ashok Balaji Color World",Ashok Mittal,+919414010491,Kota,"DCM Road","Plot 251, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,337
492,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010492,Jaipur,"Sanganer Market","Plot 252, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,344
493,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010493,Sikar,"Piprali Road","Plot 253, Main Market, Piprali Road, Sikar, Rajasthan",Exclusive Coating Dealer,351
494,"Sharma National Hardware & Paints",Gopal Sharma,+919414010494,Jhunjhunu,"Peeru Singh Circle","Plot 254, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,358
495,"Neemrana Industrial Zone Paint & Hardware Store",Rajesh Sharma,+919414010495,Alwar,"Neemrana Industrial Zone","Plot 255, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Paint Retailer,365
496,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010496,Ajmer,"Parbatpura Industrial Area","Plot 256, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,372
497,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010497,Kota,"DCM Road","Plot 257, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,379
498,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010498,Jaipur,"Tonk Road","Plot 258, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,386
499,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010499,Sikar,"Fatehpur Road","Plot 259, Main Market, Fatehpur Road, Sikar, Rajasthan",Texture & Putty Specialist,393
500,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010500,Jhunjhunu,"Gugali Market","Plot 10, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,50
501,"Delhi Gate Maruti Paints & Coating Traders",Dinesh Meena,+919414010501,Alwar,"Delhi Gate","Plot 11, Main Market, Delhi Gate, Alwar, Rajasthan",Hardware & Sanitary,57
502,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010502,Ajmer,"Parbatpura Industrial Area","Plot 12, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,64
503,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010503,Kota,"DCM Road","Plot 13, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,71
504,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414010504,Jaipur,"Vaishali Nagar","Plot 14, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,78
505,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414010505,Sikar,"Bajoria Road","Plot 15, Main Market, Bajoria Road, Sikar, Rajasthan",Paint Retailer,85
506,"Mittal Balaji Color World",Ashok Mittal,+919414010506,Jhunjhunu,"Mandawa Road","Plot 16, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,92
507,"Hope Circus Vijay Paint & Plywood Stores",Kamal Verma,+919414010507,Alwar,"Hope Circus","Plot 17, Main Market, Hope Circus, Alwar, Rajasthan",Building Material Stockist,99
508,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414010508,Ajmer,"Parbatpura Industrial Area","Plot 18, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,106
509,"Gopal National Hardware & Paints",Gopal Sharma,+919414010509,Kota,"DCM Road","Plot 19, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,113
510,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414010510,Jaipur,"Mansarovar","Plot 20, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,120
511,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010511,Sikar,"Station Road","Plot 21, Main Market, Station Road, Sikar, Rajasthan",Hardware & Sanitary,127
512,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010512,Jhunjhunu,"Road No 1","Plot 22, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,134
513,"Company Bagh Road Hardware & Building Materials",Mukesh Gupta,+919414010513,Alwar,"Company Bagh Road","Plot 23, Main Market, Company Bagh Road, Alwar, Rajasthan",Exclusive Coating Dealer,141
514,"Yadav Krishna Paint House",Ramesh Yadav,+919414010514,Ajmer,"Parbatpura Industrial Area","Plot 24, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,148
515,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010515,Kota,"DCM Road","Plot 25, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,155
516,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010516,Jaipur,"Malviya Nagar","Plot 26, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,162
517,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010517,Sikar,"Nawalgarh Road","Plot 27, Main Market, Nawalgarh Road, Sikar, Rajasthan",Building Material Stockist,169
518,"Jain Laxmi Paint Center",Pankaj Jain,+919414010518,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 28, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,176
519,"Manu Marg Royal Paints & Texture Mart",Vinod Prajapat,+919414010519,Alwar,"Manu Marg","Plot 29, Main Market, Manu Marg, Alwar, Rajasthan",Texture & Putty Specialist,183
520,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010520,Ajmer,"Parbatpura Industrial Area","Plot 30, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,190
521,"Ashok Balaji Color World",Ashok Mittal,+919414010521,Kota,"DCM Road","Plot 31, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,197
522,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414010522,Jaipur,"Sanganer Market","Plot 32, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,204
523,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414010523,Sikar,"Salasar Bus Stand Market","Plot 33, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Exclusive Coating Dealer,211
524,"Sharma National Hardware & Paints",Gopal Sharma,+919414010524,Jhunjhunu,"Peeru Singh Circle","Plot 34, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,218
525,"MIA Industrial Area Paint & Hardware Store",Rajesh Sharma,+919414010525,Alwar,"MIA Industrial Area","Plot 35, Main Market, MIA Industrial Area, Alwar, Rajasthan",Paint Retailer,225
526,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414010526,Ajmer,"Parbatpura Industrial Area","Plot 36, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,232
527,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414010527,Kota,"DCM Road","Plot 37, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,239
528,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414010528,Jaipur,"Tonk Road","Plot 38, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,246
529,"Ramesh Krishna Paint House",Ramesh Yadav,+919414010529,Sikar,"Kotwali Market","Plot 39, Main Market, Kotwali Market, Sikar, Rajasthan",Texture & Putty Specialist,253
530,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414010530,Jhunjhunu,"Gugali Market","Plot 40, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,260
531,"Bhiwadi Alwar Bypass Maruti Paints & Coating Traders",Dinesh Meena,+919414010531,Alwar,"Bhiwadi Alwar Bypass","Plot 41, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Hardware & Sanitary,267
532,"Singh Bajrang Hardware Stores",Virendra Singh,+919414010532,Ajmer,"Parbatpura Industrial Area","Plot 42, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,274
533,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414010533,Kota,"DCM Road","Plot 43, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,281
