id,shop_name,district,cluster_area,owner_name,phone,full_address,primary_category,estimated_monthly_volume
612,"Balaji Kutchery Paints & Hardware Mart",Ajmer,"Kutchery Road","Trader O Ajmer",+919414001235,"Shop 27, Main Road, Kutchery Road, Ajmer, Rajasthan","Water-Based Paints & Hardware",396
613,"Kalyan Hiran Paint & Sanitary Store",Udaipur,"Hiran Magri","Trader P Udaipur",+919414001237,"Shop 28, Main Road, Hiran Magri, Udaipur, Rajasthan","Water-Based Paints & Hardware",409
614,"Krishna Sanganer Colors & Coatings Agency",Bhilwara,"Sanganer Road","Trader Q Bhilwara",+919414001239,"Shop 29, Main Road, Sanganer Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",422
615,"Vikas Bhiwadi Hardware & Building Materials",Alwar,"Bhiwadi Industrial Zone","Trader R Alwar",+919414001241,"Shop 30, Main Road, Bhiwadi Industrial Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",435
616,"Shree Kotwali Wall Protect & Texture Depot",Sikar,"Kotwali Market","Trader S Sikar",+919414001243,"Shop 31, Main Road, Kotwali Market, Sikar, Rajasthan","Water-Based Paints & Hardware",48
617,"Jai Purani Trade Associates",Sri Ganganagar,"Purani Abadi","Trader T Sri Ganganagar",+919414001245,"Shop 32, Main Road, Purani Abadi, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",61
618,"New Mathura Paints & Hardware Mart",Bharatpur,"Mathura Road","Trader U Bharatpur",+919414001247,"Shop 33, Main Road, Mathura Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",74
619,"Royal Sumerpur Paint & Sanitary Store",Pali,"Sumerpur Road","Trader V Pali",+919414001249,"Shop 34, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",87
620,"Modern Collectorate Colors & Coatings Agency",Chittorgarh,"Collectorate Road","Trader W Chittorgarh",+919414001251,"Shop 35, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",100
621,"Star Kuchaman Hardware & Building Materials",Nagaur,"Kuchaman City","Trader X Nagaur",+919414001253,"Shop 36, Main Road, Kuchaman City, Nagaur, Rajasthan","Water-Based Paints & Hardware",113
622,"Classic Peeru Wall Protect & Texture Depot",Jhunjhunu,"Peeru Singh Circle","Trader Y Jhunjhunu",+919414001255,"Shop 37, Main Road, Peeru Singh Circle, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",126
623,"National Malpura Trade Associates",Tonk,"Malpura Road","Trader Z Tonk",+919414001257,"Shop 38, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",139
624,"Ganesh Junction Paints & Hardware Mart",Hanumangarh,"Junction Market","Trader A Hanumangarh",+919414001259,"Shop 39, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",152
625,"Maruti Station Paint & Sanitary Store",Dausa,"Station Road","Trader B Dausa",+919414001261,"Shop 40, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",165
626,"Balaji Sindhari Colors & Coatings Agency",Barmer,"Sindhari Road","Trader C Barmer",+919414001263,"Shop 41, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",178
627,"Kalyan Chomu Hardware & Building Materials",Jaipur,"Chomu","Trader D Jaipur",+919414001265,"Shop 42, Main Road, Chomu, Jaipur, Rajasthan","Water-Based Paints & Hardware",191
628,"Krishna Ratanada Wall Protect & Texture Depot",Jodhpur,"Ratanada","Trader E Jodhpur",+919414001267,"Shop 43, Main Road, Ratanada, Jodhpur, Rajasthan","Water-Based Paints & Hardware",204
629,"Vikas Mahaveer Trade Associates",Kota,"Mahaveer Nagar","Trader F Kota",+919414001269,"Shop 44, Main Road, Mahaveer Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",217
630,"Shree Kote Paints & Hardware Mart",Bikaner,"Kote Gate","Trader G Bikaner",+919414001271,"Shop 45, Main Road, Kote Gate, Bikaner, Rajasthan","Water-Based Paints & Hardware",230
631,"Jai Madar Paint & Sanitary Store",Ajmer,"Madar Gate","Trader H Ajmer",+919414001273,"Shop 46, Main Road, Madar Gate, Ajmer, Rajasthan","Water-Based Paints & Hardware",243
632,"New Bapu Colors & Coatings Agency",Udaipur,"Bapu Bazar","Trader I Udaipur",+919414001275,"Shop 47, Main Road, Bapu Bazar, Udaipur, Rajasthan","Water-Based Paints & Hardware",256
633,"Royal Pur Hardware & Building Materials",Bhilwara,"Pur Road","Trader J Bhilwara",+919414001277,"Shop 48, Main Road, Pur Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",269
634,"Modern Neemrana Wall Protect & Texture Depot",Alwar,"Neemrana Japanese Zone","Trader K Alwar",+919414001279,"Shop 49, Main Road, Neemrana Japanese Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",282
635,"Star Salasar Trade Associates",Sikar,"Salasar Bus Stand","Trader L Sikar",+919414001281,"Shop 50, Main Road, Salasar Bus Stand, Sikar, Rajasthan","Water-Based Paints & Hardware",295
636,"Classic Birbal Paints & Hardware Mart",Sri Ganganagar,"Birbal Chowk","Trader M Sri Ganganagar",+919414001283,"Shop 51, Main Road, Birbal Chowk, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",308
637,"National Sewar Paint & Sanitary Store",Bharatpur,"Sewar Industrial Area","Trader N Bharatpur",+919414001285,"Shop 52, Main Road, Sewar Industrial Area, Bharatpur, Rajasthan","Water-Based Paints & Hardware",321
638,"Ganesh Somnath Colors & Coatings Agency",Pali,"Somnath Temple Market","Trader O Pali",+919414001287,"Shop 53, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",334
639,"Maruti Nimbahera Hardware & Building Materials",Chittorgarh,"Nimbahera Town","Trader P Chittorgarh",+919414001289,"Shop 54, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",347
640,"Balaji Merta Wall Protect & Texture Depot",Nagaur,"Merta City","Trader Q Nagaur",+919414001291,"Shop 55, Main Road, Merta City, Nagaur, Rajasthan","Water-Based Paints & Hardware",360
641,"Kalyan Gugali Trade Associates",Jhunjhunu,"Gugali Market","Trader R Jhunjhunu",+919414001293,"Shop 56, Main Road, Gugali Market, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",373
642,"Krishna Civil Paints & Hardware Mart",Tonk,"Civil Lines","Trader S Tonk",+919414001295,"Shop 57, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",386
643,"Vikas Rawatsar Paint & Sanitary Store",Hanumangarh,"Rawatsar Road","Trader T Hanumangarh",+919414001297,"Shop 58, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",399
644,"Shree Lalsot Colors & Coatings Agency",Dausa,"Lalsot Road","Trader U Dausa",+919414001299,"Shop 59, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",412
645,"Jai Balotra Hardware & Building Materials",Barmer,"Balotra Textile & Hardware Hub","Trader V Barmer",+919414001301,"Shop 60, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",425
646,"New Malviya Wall Protect & Texture Depot",Jaipur,"Malviya Nagar","Trader W Jaipur",+919414001303,"Shop 61, Main Road, Malviya Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",438
647,"Royal Mandore Trade Associates",Jodhpur,"Mandore Road","Trader X Jodhpur",+919414001305,"Shop 62, Main Road, Mandore Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",51
648,"Modern Borkhera Paints & Hardware Mart",Kota,"Borkhera","Trader Y Kota",+919414001307,"Shop 63, Main Road, Borkhera, Kota, Rajasthan","Water-Based Paints & Hardware",64
649,"Star Nokha Paint & Sanitary Store",Bikaner,"Nokha Road","Trader Z Bikaner",+919414001309,"Shop 64, Main Road, Nokha Road, Bikaner, Rajasthan","Water-Based Paints & Hardware",77
650,"Classic Clock Colors & Coatings Agency",Ajmer,"Clock Tower Market","Trader A Ajmer",+919414001311,"Shop 65, Main Road, Clock Tower Market, Ajmer, Rajasthan","Water-Based Paints & Hardware",90
651,"National Mewar Hardware & Building Materials",Udaipur,"Mewar Industrial Area","Trader B Udaipur",+919414001313,"Shop 66, Main Road, Mewar Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",103
652,"Ganesh Gandhi Wall Protect & Texture Depot",Bhilwara,"Gandhi Nagar","Trader C Bhilwara",+919414001315,"Shop 67, Main Road, Gandhi Nagar, Bhilwara, Rajasthan","Water-Based Paints & Hardware",116
653,"Maruti Tijara Trade Associates",Alwar,"Tijara Road","Trader D Alwar",+919414001317,"Shop 68, Main Road, Tijara Road, Alwar, Rajasthan","Water-Based Paints & Hardware",129
654,"Balaji Station Paints & Hardware Mart",Sikar,"Station Road","Trader E Sikar",+919414001319,"Shop 69, Main Road, Station Road, Sikar, Rajasthan","Water-Based Paints & Hardware",142
655,"Kalyan Suratgarh Paint & Sanitary Store",Sri Ganganagar,"Suratgarh Road","Trader F Sri Ganganagar",+919414001321,"Shop 70, Main Road, Suratgarh Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",155
656,"Krishna Kumher Colors & Coatings Agency",Bharatpur,"Kumher Gate","Trader G Bharatpur",+919414001323,"Shop 71, Main Road, Kumher Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",168
657,"Vikas Suraj Hardware & Building Materials",Pali,"Suraj Pole","Trader H Pali",+919414001325,"Shop 72, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",181
658,"Shree Fort Wall Protect & Texture Depot",Chittorgarh,"Fort Road","Trader I Chittorgarh",+919414001327,"Shop 73, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",194
659,"Jai Gandhi Trade Associates",Nagaur,"Gandhi Chowk","Trader J Nagaur",+919414001329,"Shop 74, Main Road, Gandhi Chowk, Nagaur, Rajasthan","Water-Based Paints & Hardware",207
660,"New Mandawa Paints & Hardware Mart",Jhunjhunu,"Mandawa Road","Trader K Jhunjhunu",+919414001331,"Shop 75, Main Road, Mandawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",220
661,"Royal Subhash Paint & Sanitary Store",Tonk,"Subhash Chowk","Trader L Tonk",+919414001333,"Shop 76, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",233
662,"Modern Industrial Colors & Coatings Agency",Hanumangarh,"Industrial Area","Trader M Hanumangarh",+919414001335,"Shop 77, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",246
663,"Star Agra Hardware & Building Materials",Dausa,"Agra Road","Trader N Dausa",+919414001337,"Shop 78, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",259
664,"Classic Station Wall Protect & Texture Depot",Barmer,"Station Road","Trader O Barmer",+919414001339,"Shop 79, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",272
665,"National Transport Trade Associates",Jaipur,"Transport Nagar","Trader P Jaipur",+919414001341,"Shop 80, Main Road, Transport Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",285
666,"Ganesh Pal Paints & Hardware Mart",Jodhpur,"Pal Road","Trader Q Jodhpur",+919414001343,"Shop 81, Main Road, Pal Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",298
667,"Maruti Indraprastha Paint & Sanitary Store",Kota,"Indraprastha Industrial Area","Trader R Kota",+919414001345,"Shop 82, Main Road, Indraprastha Industrial Area, Kota, Rajasthan","Water-Based Paints & Hardware",311
668,"Balaji Sadul Colors & Coatings Agency",Bikaner,"Sadul Colony","Trader S Bikaner",+919414001347,"Shop 83, Main Road, Sadul Colony, Bikaner, Rajasthan","Water-Based Paints & Hardware",324
669,"Kalyan Parbatpura Hardware & Building Materials",Ajmer,"Parbatpura Industrial Area","Trader T Ajmer",+919414001349,"Shop 84, Main Road, Parbatpura Industrial Area, Ajmer, Rajasthan","Water-Based Paints & Hardware",337
670,"Krishna Udaisagar Wall Protect & Texture Depot",Udaipur,"Udaisagar Road","Trader U Udaipur",+919414001351,"Shop 85, Main Road, Udaisagar Road, Udaipur, Rajasthan","Water-Based Paints & Hardware",350
671,"Vikas RIICO Trade Associates",Bhilwara,"RIICO Industrial Area","Trader V Bhilwara",+919414001353,"Shop 86, Main Road, RIICO Industrial Area, Bhilwara, Rajasthan","Water-Based Paints & Hardware",363
672,"Shree MIA Paints & Hardware Mart",Alwar,"MIA Industrial Area","Trader W Alwar",+919414001355,"Shop 87, Main Road, MIA Industrial Area, Alwar, Rajasthan","Water-Based Paints & Hardware",376
673,"Jai Bajoria Paint & Sanitary Store",Sikar,"Bajoria Road","Trader X Sikar",+919414001357,"Shop 88, Main Road, Bajoria Road, Sikar, Rajasthan","Water-Based Paints & Hardware",389
674,"New Padampur Colors & Coatings Agency",Sri Ganganagar,"Padampur Road","Trader Y Sri Ganganagar",+919414001359,"Shop 89, Main Road, Padampur Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",402
675,"Royal Anah Hardware & Building Materials",Bharatpur,"Anah Gate","Trader Z Bharatpur",+919414001361,"Shop 90, Main Road, Anah Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",415
676,"Modern Mandia Wall Protect & Texture Depot",Pali,"Mandia Road Industrial Area","Trader A Pali",+919414001363,"Shop 91, Main Road, Mandia Road Industrial Area, Pali, Rajasthan","Water-Based Paints & Hardware",428
677,"Star Chanderiya Trade Associates",Chittorgarh,"Chanderiya Industrial Area","Trader B Chittorgarh",+919414001365,"Shop 92, Main Road, Chanderiya Industrial Area, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",41
678,"Classic Makrana Paints & Hardware Mart",Nagaur,"Makrana Marble Zone","Trader C Nagaur",+919414001367,"Shop 93, Main Road, Makrana Marble Zone, Nagaur, Rajasthan","Water-Based Paints & Hardware",54
679,"National Khetri Paint & Sanitary Store",Jhunjhunu,"Khetri Nagar","Trader D Jhunjhunu",+919414001369,"Shop 94, Main Road, Khetri Nagar, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",67
680,"Ganesh Niwai Colors & Coatings Agency",Tonk,"Niwai Industrial Area","Trader E Tonk",+919414001371,"Shop 95, Main Road, Niwai Industrial Area, Tonk, Rajasthan","Water-Based Paints & Hardware",80
681,"Maruti Town Hardware & Building Materials",Hanumangarh,"Town Main Bazaar","Trader F Hanumangarh",+919414001373,"Shop 96, Main Road, Town Main Bazaar, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",93
682,"Balaji Bandikui Wall Protect & Texture Depot",Dausa,"Bandikui Mandi","Trader G Dausa",+919414001375,"Shop 97, Main Road, Bandikui Mandi, Dausa, Rajasthan","Water-Based Paints & Hardware",106
683,"Kalyan Refinery Trade Associates",Barmer,"Refinery Site Corridor","Trader H Barmer",+919414001377,"Shop 98, Main Road, Refinery Site Corridor, Barmer, Rajasthan","Water-Based Paints & Hardware",119
684,"Krishna Vaishali Paints & Hardware Mart",Jaipur,"Vaishali Nagar","Trader I Jaipur",+919414001379,"Shop 99, Main Road, Vaishali Nagar, Jaipur, Rajasthan","Water-Based Paints & Hardware",132
685,"Vikas Shastri Paint & Sanitary Store",Jodhpur,"Shastri Nagar","Trader J Jodhpur",+919414001381,"Shop 100, Main Road, Shastri Nagar, Jodhpur, Rajasthan","Water-Based Paints & Hardware",145
686,"Shree Gumanpura Colors & Coatings Agency",Kota,"Gumanpura","Trader K Kota",+919414001383,"Shop 101, Main Road, Gumanpura, Kota, Rajasthan","Water-Based Paints & Hardware",158
687,"Jai Bichhwal Hardware & Building Materials",Bikaner,"Bichhwal Industrial Area","Trader L Bikaner",+919414001385,"Shop 102, Main Road, Bichhwal Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",171
688,"New Kishangarh Wall Protect & Texture Depot",Ajmer,"Kishangarh Marble Mandi","Trader M Ajmer",+919414001387,"Shop 103, Main Road, Kishangarh Marble Mandi, Ajmer, Rajasthan","Water-Based Paints & Hardware",184
689,"Royal Fatehpura Trade Associates",Udaipur,"Fatehpura","Trader N Udaipur",+919414001389,"Shop 104, Main Road, Fatehpura, Udaipur, Rajasthan","Water-Based Paints & Hardware",197
690,"Modern Bhopalganj Paints & Hardware Mart",Bhilwara,"Bhopalganj","Trader O Bhilwara",+919414001391,"Shop 105, Main Road, Bhopalganj, Bhilwara, Rajasthan","Water-Based Paints & Hardware",210
691,"Star Manu Paint & Sanitary Store",Alwar,"Manu Marg","Trader P Alwar",+919414001393,"Shop 106, Main Road, Manu Marg, Alwar, Rajasthan","Water-Based Paints & Hardware",223
692,"Classic Fatehpur Colors & Coatings Agency",Sikar,"Fatehpur Road","Trader Q Sikar",+919414001395,"Shop 107, Main Road, Fatehpur Road, Sikar, Rajasthan","Water-Based Paints & Hardware",236
693,"National Gola Hardware & Building Materials",Sri Ganganagar,"Gola Market","Trader R Sri Ganganagar",+919414001397,"Shop 108, Main Road, Gola Market, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",249
694,"Ganesh Circular Wall Protect & Texture Depot",Bharatpur,"Circular Road","Trader S Bharatpur",+919414001399,"Shop 109, Main Road, Circular Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",262
695,"Maruti Sumerpur Trade Associates",Pali,"Sumerpur Road","Trader T Pali",+919414001401,"Shop 110, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",275
696,"Balaji Collectorate Paints & Hardware Mart",Chittorgarh,"Collectorate Road","Trader U Chittorgarh",+919414001403,"Shop 111, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",288
697,"Kalyan Didwana Paint & Sanitary Store",Nagaur,"Didwana Road","Trader V Nagaur",+919414001405,"Shop 112, Main Road, Didwana Road, Nagaur, Rajasthan","Water-Based Paints & Hardware",301
698,"Krishna Chirawa Colors & Coatings Agency",Jhunjhunu,"Chirawa Road","Trader W Jhunjhunu",+919414001407,"Shop 113, Main Road, Chirawa Road, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",314
699,"Vikas Malpura Hardware & Building Materials",Tonk,"Malpura Road","Trader X Tonk",+919414001409,"Shop 114, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",327
700,"Shree Junction Wall Protect & Texture Depot",Hanumangarh,"Junction Market","Trader Y Hanumangarh",+919414001411,"Shop 115, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",340
701,"Jai Station Trade Associates",Dausa,"Station Road","Trader Z Dausa",+919414001413,"Shop 116, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",353
702,"New Sindhari Paints & Hardware Mart",Barmer,"Sindhari Road","Trader A Barmer",+919414001415,"Shop 117, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",366
703,"Royal Jhotwara Paint & Sanitary Store",Jaipur,"Jhotwara","Trader B Jaipur",+919414001417,"Shop 118, Main Road, Jhotwara, Jaipur, Rajasthan","Water-Based Paints & Hardware",379
704,"Modern Boranada Colors & Coatings Agency",Jodhpur,"Boranada SEZ","Trader C Jodhpur",+919414001419,"Shop 119, Main Road, Boranada SEZ, Jodhpur, Rajasthan","Water-Based Paints & Hardware",392
705,"Star DCM Hardware & Building Materials",Kota,"DCM Road","Trader D Kota",+919414001421,"Shop 120, Main Road, DCM Road, Kota, Rajasthan","Water-Based Paints & Hardware",405
706,"Classic Rani Wall Protect & Texture Depot",Bikaner,"Rani Bazar Industrial Area","Trader E Bikaner",+919414001423,"Shop 121, Main Road, Rani Bazar Industrial Area, Bikaner, Rajasthan","Water-Based Paints & Hardware",418
707,"National Beawar Trade Associates",Ajmer,"Beawar City","Trader F Ajmer",+919414001425,"Shop 122, Main Road, Beawar City, Ajmer, Rajasthan","Water-Based Paints & Hardware",431
708,"Ganesh Sukher Paints & Hardware Mart",Udaipur,"Sukher Industrial Area","Trader G Udaipur",+919414001427,"Shop 123, Main Road, Sukher Industrial Area, Udaipur, Rajasthan","Water-Based Paints & Hardware",44
709,"Maruti Sanganer Paint & Sanitary Store",Bhilwara,"Sanganer Road","Trader H Bhilwara",+919414001429,"Shop 124, Main Road, Sanganer Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",57
710,"Balaji Company Colors & Coatings Agency",Alwar,"Company Bagh","Trader I Alwar",+919414001431,"Shop 125, Main Road, Company Bagh, Alwar, Rajasthan","Water-Based Paints & Hardware",70
711,"Kalyan Piprali Hardware & Building Materials",Sikar,"Piprali Road","Trader J Sikar",+919414001433,"Shop 126, Main Road, Piprali Road, Sikar, Rajasthan","Water-Based Paints & Hardware",83
712,"Krishna Purani Wall Protect & Texture Depot",Sri Ganganagar,"Purani Abadi","Trader K Sri Ganganagar",+919414001435,"Shop 127, Main Road, Purani Abadi, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",96
713,"Vikas Mathura Trade Associates",Bharatpur,"Mathura Road","Trader L Bharatpur",+919414001437,"Shop 128, Main Road, Mathura Road, Bharatpur, Rajasthan","Water-Based Paints & Hardware",109
714,"Shree Somnath Paints & Hardware Mart",Pali,"Somnath Temple Market","Trader M Pali",+919414001439,"Shop 129, Main Road, Somnath Temple Market, Pali, Rajasthan","Water-Based Paints & Hardware",122
715,"Jai Nimbahera Paint & Sanitary Store",Chittorgarh,"Nimbahera Town","Trader N Chittorgarh",+919414001441,"Shop 130, Main Road, Nimbahera Town, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",135
716,"New Kuchaman Colors & Coatings Agency",Nagaur,"Kuchaman City","Trader O Nagaur",+919414001443,"Shop 131, Main Road, Kuchaman City, Nagaur, Rajasthan","Water-Based Paints & Hardware",148
717,"Royal Peeru Hardware & Building Materials",Jhunjhunu,"Peeru Singh Circle","Trader P Jhunjhunu",+919414001445,"Shop 132, Main Road, Peeru Singh Circle, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",161
718,"Modern Civil Wall Protect & Texture Depot",Tonk,"Civil Lines","Trader Q Tonk",+919414001447,"Shop 133, Main Road, Civil Lines, Tonk, Rajasthan","Water-Based Paints & Hardware",174
719,"Star Rawatsar Trade Associates",Hanumangarh,"Rawatsar Road","Trader R Hanumangarh",+919414001449,"Shop 134, Main Road, Rawatsar Road, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",187
720,"Classic Lalsot Paints & Hardware Mart",Dausa,"Lalsot Road","Trader S Dausa",+919414001451,"Shop 135, Main Road, Lalsot Road, Dausa, Rajasthan","Water-Based Paints & Hardware",200
721,"National Balotra Paint & Sanitary Store",Barmer,"Balotra Textile & Hardware Hub","Trader T Barmer",+919414001453,"Shop 136, Main Road, Balotra Textile & Hardware Hub, Barmer, Rajasthan","Water-Based Paints & Hardware",213
722,"Ganesh Sanganer Colors & Coatings Agency",Jaipur,"Sanganer Town","Trader U Jaipur",+919414001455,"Shop 137, Main Road, Sanganer Town, Jaipur, Rajasthan","Water-Based Paints & Hardware",226
723,"Maruti Sardarpura Hardware & Building Materials",Jodhpur,"Sardarpura","Trader V Jodhpur",+919414001457,"Shop 138, Main Road, Sardarpura, Jodhpur, Rajasthan","Water-Based Paints & Hardware",239
724,"Balaji Rampura Wall Protect & Texture Depot",Kota,"Rampura","Trader W Kota",+919414001459,"Shop 139, Main Road, Rampura, Kota, Rajasthan","Water-Based Paints & Hardware",252
725,"Kalyan Kote Trade Associates",Bikaner,"Kote Gate","Trader X Bikaner",+919414001461,"Shop 140, Main Road, Kote Gate, Bikaner, Rajasthan","Water-Based Paints & Hardware",265
726,"Krishna Kutchery Paints & Hardware Mart",Ajmer,"Kutchery Road","Trader Y Ajmer",+919414001463,"Shop 141, Main Road, Kutchery Road, Ajmer, Rajasthan","Water-Based Paints & Hardware",278
727,"Vikas Hiran Paint & Sanitary Store",Udaipur,"Hiran Magri","Trader Z Udaipur",+919414001465,"Shop 142, Main Road, Hiran Magri, Udaipur, Rajasthan","Water-Based Paints & Hardware",291
728,"Shree Pur Colors & Coatings Agency",Bhilwara,"Pur Road","Trader A Bhilwara",+919414001467,"Shop 143, Main Road, Pur Road, Bhilwara, Rajasthan","Water-Based Paints & Hardware",304
729,"Jai Bhiwadi Hardware & Building Materials",Alwar,"Bhiwadi Industrial Zone","Trader B Alwar",+919414001469,"Shop 144, Main Road, Bhiwadi Industrial Zone, Alwar, Rajasthan","Water-Based Paints & Hardware",317
730,"New Kotwali Wall Protect & Texture Depot",Sikar,"Kotwali Market","Trader C Sikar",+919414001471,"Shop 145, Main Road, Kotwali Market, Sikar, Rajasthan","Water-Based Paints & Hardware",330
731,"Royal Birbal Trade Associates",Sri Ganganagar,"Birbal Chowk","Trader D Sri Ganganagar",+919414001473,"Shop 146, Main Road, Birbal Chowk, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",343
732,"Modern Sewar Paints & Hardware Mart",Bharatpur,"Sewar Industrial Area","Trader E Bharatpur",+919414001475,"Shop 147, Main Road, Sewar Industrial Area, Bharatpur, Rajasthan","Water-Based Paints & Hardware",356
733,"Star Suraj Paint & Sanitary Store",Pali,"Suraj Pole","Trader F Pali",+919414001477,"Shop 148, Main Road, Suraj Pole, Pali, Rajasthan","Water-Based Paints & Hardware",369
734,"Classic Fort Colors & Coatings Agency",Chittorgarh,"Fort Road","Trader G Chittorgarh",+919414001479,"Shop 149, Main Road, Fort Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",382
735,"National Merta Hardware & Building Materials",Nagaur,"Merta City","Trader H Nagaur",+919414001481,"Shop 150, Main Road, Merta City, Nagaur, Rajasthan","Water-Based Paints & Hardware",395
736,"Ganesh Gugali Wall Protect & Texture Depot",Jhunjhunu,"Gugali Market","Trader I Jhunjhunu",+919414001483,"Shop 151, Main Road, Gugali Market, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",408
737,"Maruti Subhash Trade Associates",Tonk,"Subhash Chowk","Trader J Tonk",+919414001485,"Shop 152, Main Road, Subhash Chowk, Tonk, Rajasthan","Water-Based Paints & Hardware",421
738,"Balaji Industrial Paints & Hardware Mart",Hanumangarh,"Industrial Area","Trader K Hanumangarh",+919414001487,"Shop 153, Main Road, Industrial Area, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",434
739,"Kalyan Agra Paint & Sanitary Store",Dausa,"Agra Road","Trader L Dausa",+919414001489,"Shop 154, Main Road, Agra Road, Dausa, Rajasthan","Water-Based Paints & Hardware",47
740,"Krishna Station Colors & Coatings Agency",Barmer,"Station Road","Trader M Barmer",+919414001491,"Shop 155, Main Road, Station Road, Barmer, Rajasthan","Water-Based Paints & Hardware",60
741,"Vikas VKI Hardware & Building Materials",Jaipur,"VKI Industrial Area","Trader N Jaipur",+919414001493,"Shop 156, Main Road, VKI Industrial Area, Jaipur, Rajasthan","Water-Based Paints & Hardware",73
742,"Shree Basni Wall Protect & Texture Depot",Jodhpur,"Basni Industrial Area","Trader O Jodhpur",+919414001495,"Shop 157, Main Road, Basni Industrial Area, Jodhpur, Rajasthan","Water-Based Paints & Hardware",86
743,"Jai Vigyan Trade Associates",Kota,"Vigyan Nagar","Trader P Kota",+919414001497,"Shop 158, Main Road, Vigyan Nagar, Kota, Rajasthan","Water-Based Paints & Hardware",99
744,"New Nokha Paints & Hardware Mart",Bikaner,"Nokha Road","Trader Q Bikaner",+919414001499,"Shop 159, Main Road, Nokha Road, Bikaner, Rajasthan","Water-Based Paints & Hardware",112
745,"Royal Madar Paint & Sanitary Store",Ajmer,"Madar Gate","Trader R Ajmer",+919414001501,"Shop 160, Main Road, Madar Gate, Ajmer, Rajasthan","Water-Based Paints & Hardware",125
